name,og_low,fg_low,ibu_low,srm_low,abv_low,og_high,fg_high,ibu_high,srm_high,abv_high
Lite American Lager,1.028,0.998,8.0,2.0,2.8,1.04,1.008,12.0,3.0,4.2
Standard American Lager,1.04,1.004,8.0,2.0,4.2,1.05,1.01,15.0,4.0,5.3
Premium American Lager,1.046,1.008,15.0,2.0,4.6,1.056,1.012,25.0,6.0,6.0
Munich Helles,1.045,1.008,16.0,3.0,4.7,1.051,1.012,22.0,5.0,5.4
Dortmunder Export,1.048,1.01,23.0,4.0,4.8,1.056,1.015,30.0,6.0,6.0
German Pilsner (Pils),1.044,1.008,25.0,2.0,4.4,1.05,1.013,45.0,5.0,5.2
Bohemian Pilsener,1.044,1.013,35.0,3.5,4.2,1.056,1.017,45.0,6.0,5.4
Classic American Pilsner,1.044,1.01,25.0,3.0,4.5,1.06,1.015,40.0,6.0,6.0
Vienna Lager,1.046,1.01,18.0,10.0,4.5,1.052,1.014,30.0,16.0,5.5
Oktoberfest/Märzen,1.05,1.012,20.0,7.0,4.8,1.057,1.016,28.0,14.0,5.7
Dark American Lager,1.044,1.008,8.0,14.0,4.2,1.056,1.012,20.0,22.0,6.0
Munich Dunkel,1.048,1.01,18.0,14.0,4.5,1.056,1.016,28.0,28.0,5.6
Schwarzbier (Black Beer),1.046,1.01,22.0,17.0,4.4,1.052,1.016,32.0,30.0,5.4
Maibock/Helles Bock,1.064,1.011,23.0,6.0,6.3,1.072,1.018,35.0,11.0,7.4
Traditional Bock,1.064,1.013,20.0,14.0,6.3,1.072,1.019,27.0,22.0,7.2
Doppelbock,1.072,1.016,16.0,6.0,7.0,1.112,1.024,26.0,25.0,10.0
Eisbock,1.078,1.02,25.0,18.0,9.0,1.12,1.035,35.0,30.0,14.0
Cream Ale,1.042,1.006,15.0,3.0,4.2,1.055,1.012,20.0,5.0,5.6
Blonde Ale,1.038,1.008,15.0,3.0,3.8,1.054,1.013,28.0,6.0,5.5
Kölsch,1.044,1.007,20.0,4.0,4.4,1.05,1.011,30.0,5.0,5.2
American Wheat or Rye Beer,1.04,1.008,15.0,3.0,4.0,1.055,1.013,30.0,6.0,5.5
Northern German Altbier,1.046,1.01,25.0,13.0,4.5,1.054,1.015,40.0,19.0,5.2
California Common Beer,1.048,1.011,30.0,10.0,4.5,1.054,1.014,45.0,14.0,5.5
Düsseldorf Altbier,1.046,1.01,35.0,11.0,4.5,1.054,1.015,50.0,17.0,5.2
Standard/Ordinary Bitter,1.032,1.007,25.0,4.0,3.2,1.04,1.011,35.0,14.0,3.8
Special/Best/Premium Bitter,1.04,1.008,25.0,5.0,3.8,1.048,1.012,40.0,16.0,4.6
Extra Special/Strong Bitter (English Pale Ale),1.048,1.01,30.0,6.0,4.6,1.06,1.016,50.0,18.0,6.2
Scottish Light 60/-,1.03,1.01,10.0,9.0,2.5,1.035,1.013,20.0,17.0,3.2
Scottish Heavy 70/-,1.035,1.01,10.0,9.0,3.2,1.04,1.015,25.0,17.0,3.9
Scottish Export 80/-,1.04,1.01,15.0,9.0,3.9,1.054,1.016,30.0,17.0,5.0
Irish Red Ale,1.044,1.01,17.0,9.0,4.0,1.06,1.014,28.0,18.0,6.0
Strong Scotch Ale,1.07,1.018,17.0,14.0,6.5,1.13,1.056,35.0,25.0,10.0
American Pale Ale,1.045,1.01,30.0,5.0,4.5,1.06,1.015,45.0,14.0,6.2
American Amber Ale,1.045,1.01,25.0,10.0,4.5,1.06,1.015,40.0,17.0,6.2
American Brown Ale,1.045,1.01,20.0,18.0,4.3,1.06,1.016,40.0,35.0,6.2
Mild,1.03,1.008,10.0,12.0,2.8,1.038,1.013,25.0,25.0,4.5
Southern English Brown,1.033,1.011,12.0,19.0,2.8,1.042,1.014,20.0,35.0,4.1
Northern English Brown Ale,1.04,1.008,20.0,12.0,4.2,1.052,1.014,30.0,22.0,5.4
Brown Porter,1.04,1.008,18.0,20.0,4.0,1.052,1.014,35.0,30.0,5.4
Robust Porter,1.048,1.012,25.0,22.0,4.8,1.065,1.016,50.0,35.0,6.5
Baltic Porter,1.06,1.016,20.0,17.0,5.5,1.09,1.024,40.0,30.0,9.5
Dry Stout,1.036,1.007,30.0,25.0,4.0,1.05,1.011,45.0,40.0,5.0
Sweet Stout,1.044,1.012,20.0,30.0,4.0,1.06,1.024,40.0,40.0,6.0
Oatmeal Stout,1.048,1.01,25.0,22.0,4.2,1.065,1.018,40.0,40.0,5.9
Foreign Extra Stout,1.056,1.01,30.0,30.0,5.5,1.075,1.018,70.0,40.0,8.0
American Stout,1.05,1.01,35.0,30.0,5.0,1.075,1.022,75.0,40.0,7.0
Russian Imperial Stout,1.075,1.018,50.0,30.0,8.0,1.115,1.03,90.0,40.0,12.0
English IPA,1.05,1.01,40.0,8.0,5.0,1.075,1.018,60.0,14.0,7.5
American IPA,1.056,1.01,40.0,6.0,5.5,1.075,1.018,70.0,15.0,7.5
Imperial IPA,1.07,1.01,60.0,8.0,7.5,1.09,1.02,120.0,15.0,10.0
Weizen/Weissbier,1.044,1.01,8.0,2.0,4.3,1.052,1.014,15.0,8.0,5.6
Dunkelweizen,1.044,1.01,10.0,14.0,4.3,1.056,1.014,18.0,23.0,5.6
Weizenbock,1.064,1.015,15.0,12.0,6.5,1.09,1.022,30.0,25.0,8.0
Roggenbier (German Rye Beer),1.046,1.01,10.0,14.0,4.5,1.056,1.014,20.0,19.0,6.0
Witbier,1.044,1.008,10.0,2.0,4.5,1.052,1.012,20.0,4.0,5.5
Belgian Pale Ale,1.048,1.01,20.0,8.0,4.8,1.054,1.014,30.0,14.0,5.5
Saison,1.048,1.002,20.0,5.0,5.0,1.065,1.012,35.0,14.0,7.0
Bière de Garde,1.06,1.008,18.0,6.0,6.0,1.08,1.016,28.0,19.0,8.5
Berliner Weisse,1.028,1.003,3.0,2.0,2.8,1.032,1.006,8.0,3.0,3.8
Flanders Red Ale,1.048,1.002,10.0,10.0,4.6,1.057,1.012,25.0,16.0,6.5
Flanders Brown Ale/Oud Bruin,1.04,1.008,20.0,15.0,4.0,1.074,1.012,25.0,22.0,8.0
Straight (Unblended) Lambic,1.04,1.001,0.0,3.0,5.0,1.054,1.01,10.0,7.0,6.5
Gueuze,1.04,1.0,0.0,3.0,5.0,1.06,1.006,10.0,7.0,8.0
Fruit Lambic,1.04,1.0,0.0,3.0,5.0,1.06,1.01,10.0,7.0,7.0
Belgian Blond Ale,1.062,1.008,15.0,4.0,6.0,1.075,1.018,30.0,7.0,7.5
Belgian Dubbel,1.062,1.008,15.0,10.0,6.3,1.075,1.018,25.0,17.0,7.6
Belgian Tripel,1.075,1.008,20.0,4.5,7.5,1.085,1.014,40.0,7.0,9.5
Belgian Golden Strong Ale,1.07,1.005,22.0,3.0,7.5,1.095,1.016,35.0,6.0,10.5
Belgian Dark Strong Ale,1.075,1.01,20.0,12.0,8.0,1.11,1.024,30.0,22.0,11.0
Old Ale,1.06,1.015,30.0,10.0,6.0,1.09,1.022,60.0,22.0,9.0
English Barleywine,1.08,1.018,35.0,8.0,8.0,1.12,1.03,70.0,22.0,12.0
American Barleywine,1.08,1.016,50.0,10.0,8.0,1.12,1.03,120.0,19.0,12.0
Classic Rauchbier,1.05,1.012,20.0,12.0,4.8,1.057,1.016,30.0,22.0,6.0
